,Observer,Session,E (lux),Sample,E chosen
1172,"Observer 10 (26, female)",3,520,A. Red (RAL 4002-HR),650
1173,"Observer 10 (26, female)",3,520,B. Blue (RAL 5009-HR),520
1174,"Observer 10 (26, female)",3,520,C. Green (RAL 6002-HR,520
1175,"Observer 10 (26, female)",3,520,D. Gray - RAL (7022-HR),650
1176,"Observer 10 (26, female)",3,650,A. Red (RAL 4002-HR),650
1177,"Observer 10 (26, female)",3,650,B. Blue (RAL 5009-HR),650
1178,"Observer 10 (26, female)",3,650,C. Green (RAL 6002-HR,650
1179,"Observer 10 (26, female)",3,650,D. Gray - RAL (7022-HR),650
1180,"Observer 10 (26, female)",3,780,A. Red (RAL 4002-HR),780
1181,"Observer 10 (26, female)",3,780,B. Blue (RAL 5009-HR),780
1182,"Observer 10 (26, female)",3,780,C. Green (RAL 6002-HR,780
1183,"Observer 10 (26, female)",3,780,D. Gray - RAL (7022-HR),780
1184,"Observer 10 (26, female)",3,910,A. Red (RAL 4002-HR),910
1185,"Observer 10 (26, female)",3,910,B. Blue (RAL 5009-HR),780
1186,"Observer 10 (26, female)",3,910,C. Green (RAL 6002-HR,780
1187,"Observer 10 (26, female)",3,910,D. Gray - RAL (7022-HR),910
1188,"Observer 10 (26, female)",3,1040,A. Red (RAL 4002-HR),1040
1189,"Observer 10 (26, female)",3,1040,B. Blue (RAL 5009-HR),1040
1190,"Observer 10 (26, female)",3,1040,C. Green (RAL 6002-HR,910
1191,"Observer 10 (26, female)",3,1040,D. Gray - RAL (7022-HR),910
1192,"Observer 10 (26, female)",3,1170,A. Red (RAL 4002-HR),910
1193,"Observer 10 (26, female)",3,1170,B. Blue (RAL 5009-HR),1040
1194,"Observer 10 (26, female)",3,1170,C. Green (RAL 6002-HR,910
1195,"Observer 10 (26, female)",3,1170,D. Gray - RAL (7022-HR),1040
1196,"Observer 10 (26, female)",3,1300,A. Red (RAL 4002-HR),1300
1197,"Observer 10 (26, female)",3,1300,B. Blue (RAL 5009-HR),1040
1198,"Observer 10 (26, female)",3,1300,C. Green (RAL 6002-HR,1300
1199,"Observer 10 (26, female)",3,1300,D. Gray - RAL (7022-HR),1300
1200,"Observer 11 (38, female)",1,130,A. Red (RAL 4002-HR),130
1201,"Observer 11 (38, female)",1,130,B. Blue (RAL 5009-HR),130
1202,"Observer 11 (38, female)",1,130,C. Green (RAL 6002-HR,260
1203,"Observer 11 (38, female)",1,130,D. Gray - RAL (7022-HR),130
1204,"Observer 11 (38, female)",1,260,A. Red (RAL 4002-HR),260
1205,"Observer 11 (38, female)",1,260,B. Blue (RAL 5009-HR),260
1206,"Observer 11 (38, female)",1,260,C. Green (RAL 6002-HR,260
1207,"Observer 11 (38, female)",1,260,D. Gray - RAL (7022-HR),390
1208,"Observer 11 (38, female)",1,390,A. Red (RAL 4002-HR),390
1209,"Observer 11 (38, female)",1,390,B. Blue (RAL 5009-HR),520
1210,"Observer 11 (38, female)",1,390,C. Green (RAL 6002-HR,520
1211,"Observer 11 (38, female)",1,390,D. Gray - RAL (7022-HR),520
1212,"Observer 11 (38, female)",1,520,A. Red (RAL 4002-HR),520
1213,"Observer 11 (38, female)",1,520,B. Blue (RAL 5009-HR),520
1214,"Observer 11 (38, female)",1,520,C. Green (RAL 6002-HR,520
1215,"Observer 11 (38, female)",1,520,D. Gray - RAL (7022-HR),520
1216,"Observer 11 (38, female)",1,650,A. Red (RAL 4002-HR),520
1217,"Observer 11 (38, female)",1,650,B. Blue (RAL 5009-HR),650
1218,"Observer 11 (38, female)",1,650,C. Green (RAL 6002-HR,650
1219,"Observer 11 (38, female)",1,650,D. Gray - RAL (7022-HR),650
1220,"Observer 11 (38, female)",1,780,A. Red (RAL 4002-HR),650
1221,"Observer 11 (38, female)",1,780,B. Blue (RAL 5009-HR),650
1222,"Observer 11 (38, female)",1,780,C. Green (RAL 6002-HR,650
1223,"Observer 11 (38, female)",1,780,D. Gray - RAL (7022-HR),650
1224,"Observer 11 (38, female)",1,910,A. Red (RAL 4002-HR),650
1225,"Observer 11 (38, female)",1,910,B. Blue (RAL 5009-HR),780
1226,"Observer 11 (38, female)",1,910,C. Green (RAL 6002-HR,780
1227,"Observer 11 (38, female)",1,910,D. Gray - RAL (7022-HR),780
1228,"Observer 11 (38, female)",1,1040,A. Red (RAL 4002-HR),780
1229,"Observer 11 (38, female)",1,1040,B. Blue (RAL 5009-HR),1040
1230,"Observer 11 (38, female)",1,1040,C. Green (RAL 6002-HR,780
1231,"Observer 11 (38, female)",1,1040,D. Gray - RAL (7022-HR),780
1232,"Observer 11 (38, female)",1,1170,A. Red (RAL 4002-HR),1300
1233,"Observer 11 (38, female)",1,1170,B. Blue (RAL 5009-HR),1300
1234,"Observer 11 (38, female)",1,1170,C. Green (RAL 6002-HR,1170
1235,"Observer 11 (38, female)",1,1170,D. Gray - RAL (7022-HR),1300
1236,"Observer 11 (38, female)",1,1300,A. Red (RAL 4002-HR),1040
1237,"Observer 11 (38, female)",1,1300,B. Blue (RAL 5009-HR),910
1238,"Observer 11 (38, female)",1,1300,C. Green (RAL 6002-HR,1040
1239,"Observer 11 (38, female)",1,1300,D. Gray - RAL (7022-HR),1170
1240,"Observer 11 (38, female)",2,130,A. Red (RAL 4002-HR),130
1241,"Observer 11 (38, female)",2,130,B. Blue (RAL 5009-HR),130
1242,"Observer 11 (38, female)",2,130,C. Green (RAL 6002-HR,130
1243,"Observer 11 (38, female)",2,130,D. Gray - RAL (7022-HR),130
1244,"Observer 11 (38, female)",2,260,A. Red (RAL 4002-HR),260
1245,"Observer 11 (38, female)",2,260,B. Blue (RAL 5009-HR),260
1246,"Observer 11 (38, female)",2,260,C. Green (RAL 6002-HR,260
1247,"Observer 11 (38, female)",2,260,D. Gray - RAL (7022-HR),390
1248,"Observer 11 (38, female)",2,390,A. Red (RAL 4002-HR),260
1249,"Observer 11 (38, female)",2,390,B. Blue (RAL 5009-HR),390
1250,"Observer 11 (38, female)",2,390,C. Green (RAL 6002-HR,390
1251,"Observer 11 (38, female)",2,390,D. Gray - RAL (7022-HR),390
1252,"Observer 11 (38, female)",2,520,A. Red (RAL 4002-HR),520
1253,"Observer 11 (38, female)",2,520,B. Blue (RAL 5009-HR),520
1254,"Observer 11 (38, female)",2,520,C. Green (RAL 6002-HR,520
1255,"Observer 11 (38, female)",2,520,D. Gray - RAL (7022-HR),650
1256,"Observer 11 (38, female)",2,650,A. Red (RAL 4002-HR),520
1257,"Observer 11 (38, female)",2,650,B. Blue (RAL 5009-HR),650
1258,"Observer 11 (38, female)",2,650,C. Green (RAL 6002-HR,520
1259,"Observer 11 (38, female)",2,650,D. Gray - RAL (7022-HR),650
1260,"Observer 11 (38, female)",2,780,A. Red (RAL 4002-HR),650
1261,"Observer 11 (38, female)",2,780,B. Blue (RAL 5009-HR),650
1262,"Observer 11 (38, female)",2,780,C. Green (RAL 6002-HR,650
1263,"Observer 11 (38, female)",2,780,D. Gray - RAL (7022-HR),650
1264,"Observer 11 (38, female)",2,910,A. Red (RAL 4002-HR),650
1265,"Observer 11 (38, female)",2,910,B. Blue (RAL 5009-HR),650
1266,"Observer 11 (38, female)",2,910,C. Green (RAL 6002-HR,910
1267,"Observer 11 (38, female)",2,910,D. Gray - RAL (7022-HR),780
1268,"Observer 11 (38, female)",2,1040,A. Red (RAL 4002-HR),910
1269,"Observer 11 (38, female)",2,1040,B. Blue (RAL 5009-HR),1040
1270,"Observer 11 (38, female)",2,1040,C. Green (RAL 6002-HR,910
1271,"Observer 11 (38, female)",2,1040,D. Gray - RAL (7022-HR),910
1272,"Observer 11 (38, female)",2,1170,A. Red (RAL 4002-HR),1040
1273,"Observer 11 (38, female)",2,1170,B. Blue (RAL 5009-HR),910
1274,"Observer 11 (38, female)",2,1170,C. Green (RAL 6002-HR,910
1275,"Observer 11 (38, female)",2,1170,D. Gray - RAL (7022-HR),1040
1276,"Observer 11 (38, female)",2,1300,A. Red (RAL 4002-HR),1040
1277,"Observer 11 (38, female)",2,1300,B. Blue (RAL 5009-HR),1170
1278,"Observer 11 (38, female)",2,1300,C. Green (RAL 6002-HR,1040
1279,"Observer 11 (38, female)",2,1300,D. Gray - RAL (7022-HR),1040
1280,"Observer 11 (38, female)",3,130,A. Red (RAL 4002-HR),130
1281,"Observer 11 (38, female)",3,130,B. Blue (RAL 5009-HR),130
1282,"Observer 11 (38, female)",3,130,C. Green (RAL 6002-HR,260
1283,"Observer 11 (38, female)",3,130,D. Gray - RAL (7022-HR),260
1284,"Observer 11 (38, female)",3,260,A. Red (RAL 4002-HR),260
1285,"Observer 11 (38, female)",3,260,B. Blue (RAL 5009-HR),260
1286,"Observer 11 (38, female)",3,260,C. Green (RAL 6002-HR,260
1287,"Observer 11 (38, female)",3,260,D. Gray - RAL (7022-HR),260
1288,"Observer 11 (38, female)",3,390,A. Red (RAL 4002-HR),390
1289,"Observer 11 (38, female)",3,390,B. Blue (RAL 5009-HR),390
1290,"Observer 11 (38, female)",3,390,C. Green (RAL 6002-HR,390
1291,"Observer 11 (38, female)",3,390,D. Gray - RAL (7022-HR),390
1292,"Observer 11 (38, female)",3,520,A. Red (RAL 4002-HR),390
1293,"Observer 11 (38, female)",3,520,B. Blue (RAL 5009-HR),520
1294,"Observer 11 (38, female)",3,520,C. Green (RAL 6002-HR,520
1295,"Observer 11 (38, female)",3,520,D. Gray - RAL (7022-HR),520
1296,"Observer 11 (38, female)",3,650,A. Red (RAL 4002-HR),520
1297,"Observer 11 (38, female)",3,650,B. Blue (RAL 5009-HR),520
1298,"Observer 11 (38, female)",3,650,C. Green (RAL 6002-HR,520
1299,"Observer 11 (38, female)",3,650,D. Gray - RAL (7022-HR),520
1300,"Observer 11 (38, female)",3,780,A. Red (RAL 4002-HR),650
1301,"Observer 11 (38, female)",3,780,B. Blue (RAL 5009-HR),780
1302,"Observer 11 (38, female)",3,780,C. Green (RAL 6002-HR,780
1303,"Observer 11 (38, female)",3,780,D. Gray - RAL (7022-HR),650
1304,"Observer 11 (38, female)",3,910,A. Red (RAL 4002-HR),910
1305,"Observer 11 (38, female)",3,910,B. Blue (RAL 5009-HR),780
1306,"Observer 11 (38, female)",3,910,C. Green (RAL 6002-HR,780
1307,"Observer 11 (38, female)",3,910,D. Gray - RAL (7022-HR),910
1308,"Observer 11 (38, female)",3,1040,A. Red (RAL 4002-HR),780
1309,"Observer 11 (38, female)",3,1040,B. Blue (RAL 5009-HR),910
1310,"Observer 11 (38, female)",3,1040,C. Green (RAL 6002-HR,910
1311,"Observer 11 (38, female)",3,1040,D. Gray - RAL (7022-HR),1040
1312,"Observer 11 (38, female)",3,1170,A. Red (RAL 4002-HR),1300
1313,"Observer 11 (38, female)",3,1170,B. Blue (RAL 5009-HR),1300
1314,"Observer 11 (38, female)",3,1170,C. Green (RAL 6002-HR,1040
1315,"Observer 11 (38, female)",3,1170,D. Gray - RAL (7022-HR),1040
1316,"Observer 11 (38, female)",3,1300,A. Red (RAL 4002-HR),1300
1317,"Observer 11 (38, female)",3,1300,B. Blue (RAL 5009-HR),1300
1318,"Observer 11 (38, female)",3,1300,C. Green (RAL 6002-HR,1170
1319,"Observer 11 (38, female)",3,1300,D. Gray - RAL (7022-HR),1300
1320,"Observer 12 (24, female)",1,130,A. Red (RAL 4002-HR),130
1321,"Observer 12 (24, female)",1,130,B. Blue (RAL 5009-HR),260
1322,"Observer 12 (24, female)",1,130,C. Green (RAL 6002-HR,260
1323,"Observer 12 (24, female)",1,130,D. Gray - RAL (7022-HR),260
1324,"Observer 12 (24, female)",1,260,A. Red (RAL 4002-HR),260
1325,"Observer 12 (24, female)",1,260,B. Blue (RAL 5009-HR),390
1326,"Observer 12 (24, female)",1,260,C. Green (RAL 6002-HR,390
1327,"Observer 12 (24, female)",1,260,D. Gray - RAL (7022-HR),260
1328,"Observer 12 (24, female)",1,390,A. Red (RAL 4002-HR),520
1329,"Observer 12 (24, female)",1,390,B. Blue (RAL 5009-HR),390
1330,"Observer 12 (24, female)",1,390,C. Green (RAL 6002-HR,390
1331,"Observer 12 (24, female)",1,390,D. Gray - RAL (7022-HR),390
1332,"Observer 12 (24, female)",1,520,A. Red (RAL 4002-HR),390
1333,"Observer 12 (24, female)",1,520,B. Blue (RAL 5009-HR),520
1334,"Observer 12 (24, female)",1,520,C. Green (RAL 6002-HR,520
1335,"Observer 12 (24, female)",1,520,D. Gray - RAL (7022-HR),520
1336,"Observer 12 (24, female)",1,650,A. Red (RAL 4002-HR),650
1337,"Observer 12 (24, female)",1,650,B. Blue (RAL 5009-HR),650
1338,"Observer 12 (24, female)",1,650,C. Green (RAL 6002-HR,650
1339,"Observer 12 (24, female)",1,650,D. Gray - RAL (7022-HR),650
1340,"Observer 12 (24, female)",1,780,A. Red (RAL 4002-HR),520
1341,"Observer 12 (24, female)",1,780,B. Blue (RAL 5009-HR),780
1342,"Observer 12 (24, female)",1,780,C. Green (RAL 6002-HR,780
1343,"Observer 12 (24, female)",1,780,D. Gray - RAL (7022-HR),650
1344,"Observer 12 (24, female)",1,910,A. Red (RAL 4002-HR),780
1345,"Observer 12 (24, female)",1,910,B. Blue (RAL 5009-HR),910
1346,"Observer 12 (24, female)",1,910,C. Green (RAL 6002-HR,780
1347,"Observer 12 (24, female)",1,910,D. Gray - RAL (7022-HR),1040
1348,"Observer 12 (24, female)",1,1040,A. Red (RAL 4002-HR),780
1349,"Observer 12 (24, female)",1,1040,B. Blue (RAL 5009-HR),910
1350,"Observer 12 (24, female)",1,1040,C. Green (RAL 6002-HR,910
1351,"Observer 12 (24, female)",1,1040,D. Gray - RAL (7022-HR),910
1352,"Observer 12 (24, female)",1,1170,A. Red (RAL 4002-HR),1040
1353,"Observer 12 (24, female)",1,1170,B. Blue (RAL 5009-HR),1300
1354,"Observer 12 (24, female)",1,1170,C. Green (RAL 6002-HR,910
1355,"Observer 12 (24, female)",1,1170,D. Gray - RAL (7022-HR),780
1356,"Observer 12 (24, female)",1,1300,A. Red (RAL 4002-HR),1040
1357,"Observer 12 (24, female)",1,1300,B. Blue (RAL 5009-HR),1300
1358,"Observer 12 (24, female)",1,1300,C. Green (RAL 6002-HR,1170
1359,"Observer 12 (24, female)",1,1300,D. Gray - RAL (7022-HR),1300
1360,"Observer 12 (24, female)",2,130,A. Red (RAL 4002-HR),130
1361,"Observer 12 (24, female)",2,130,B. Blue (RAL 5009-HR),260
1362,"Observer 12 (24, female)",2,130,C. Green (RAL 6002-HR,260
1363,"Observer 12 (24, female)",2,130,D. Gray - RAL (7022-HR),260
1364,"Observer 12 (24, female)",2,260,A. Red (RAL 4002-HR),260
1365,"Observer 12 (24, female)",2,260,B. Blue (RAL 5009-HR),390
1366,"Observer 12 (24, female)",2,260,C. Green (RAL 6002-HR,390
1367,"Observer 12 (24, female)",2,260,D. Gray - RAL (7022-HR),390
1368,"Observer 12 (24, female)",2,390,A. Red (RAL 4002-HR),390
1369,"Observer 12 (24, female)",2,390,B. Blue (RAL 5009-HR),520
1370,"Observer 12 (24, female)",2,390,C. Green (RAL 6002-HR,520
1371,"Observer 12 (24, female)",2,390,D. Gray - RAL (7022-HR),390
1372,"Observer 12 (24, female)",2,520,A. Red (RAL 4002-HR),520
1373,"Observer 12 (24, female)",2,520,B. Blue (RAL 5009-HR),520
1374,"Observer 12 (24, female)",2,520,C. Green (RAL 6002-HR,520
1375,"Observer 12 (24, female)",2,520,D. Gray - RAL (7022-HR),520
1376,"Observer 12 (24, female)",2,650,A. Red (RAL 4002-HR),650
1377,"Observer 12 (24, female)",2,650,B. Blue (RAL 5009-HR),780
1378,"Observer 12 (24, female)",2,650,C. Green (RAL 6002-HR,650
1379,"Observer 12 (24, female)",2,650,D. Gray - RAL (7022-HR),650
1380,"Observer 12 (24, female)",2,780,A. Red (RAL 4002-HR),650
1381,"Observer 12 (24, female)",2,780,B. Blue (RAL 5009-HR),910
1382,"Observer 12 (24, female)",2,780,C. Green (RAL 6002-HR,910
1383,"Observer 12 (24, female)",2,780,D. Gray - RAL (7022-HR),910
1384,"Observer 12 (24, female)",2,910,A. Red (RAL 4002-HR),910
1385,"Observer 12 (24, female)",2,910,B. Blue (RAL 5009-HR),910
1386,"Observer 12 (24, female)",2,910,C. Green (RAL 6002-HR,910
1387,"Observer 12 (24, female)",2,910,D. Gray - RAL (7022-HR),910
1388,"Observer 12 (24, female)",2,1040,A. Red (RAL 4002-HR),910
1389,"Observer 12 (24, female)",2,1040,B. Blue (RAL 5009-HR),1040
1390,"Observer 12 (24, female)",2,1040,C. Green (RAL 6002-HR,1040
1391,"Observer 12 (24, female)",2,1040,D. Gray - RAL (7022-HR),910
1392,"Observer 12 (24, female)",2,1170,A. Red (RAL 4002-HR),910
1393,"Observer 12 (24, female)",2,1170,B. Blue (RAL 5009-HR),1170
1394,"Observer 12 (24, female)",2,1170,C. Green (RAL 6002-HR,910
1395,"Observer 12 (24, female)",2,1170,D. Gray - RAL (7022-HR),1170
1396,"Observer 12 (24, female)",2,1300,A. Red (RAL 4002-HR),1300
1397,"Observer 12 (24, female)",2,1300,B. Blue (RAL 5009-HR),1300
1398,"Observer 12 (24, female)",2,1300,C. Green (RAL 6002-HR,1300
1399,"Observer 12 (24, female)",2,1300,D. Gray - RAL (7022-HR),1300
1400,"Observer 12 (24, female)",3,130,A. Red (RAL 4002-HR),130
1401,"Observer 12 (24, female)",3,130,B. Blue (RAL 5009-HR),260
1402,"Observer 12 (24, female)",3,130,C. Green (RAL 6002-HR,260
1403,"Observer 12 (24, female)",3,130,D. Gray - RAL (7022-HR),260
1404,"Observer 12 (24, female)",3,260,A. Red (RAL 4002-HR),260
1405,"Observer 12 (24, female)",3,260,B. Blue (RAL 5009-HR),260
1406,"Observer 12 (24, female)",3,260,C. Green (RAL 6002-HR,260
1407,"Observer 12 (24, female)",3,260,D. Gray - RAL (7022-HR),390
1408,"Observer 12 (24, female)",3,390,A. Red (RAL 4002-HR),390
1409,"Observer 12 (24, female)",3,390,B. Blue (RAL 5009-HR),390
1410,"Observer 12 (24, female)",3,390,C. Green (RAL 6002-HR,520
1411,"Observer 12 (24, female)",3,390,D. Gray - RAL (7022-HR),390
1412,"Observer 12 (24, female)",3,520,A. Red (RAL 4002-HR),520
1413,"Observer 12 (24, female)",3,520,B. Blue (RAL 5009-HR),650
1414,"Observer 12 (24, female)",3,520,C. Green (RAL 6002-HR,520
1415,"Observer 12 (24, female)",3,520,D. Gray - RAL (7022-HR),520
1416,"Observer 12 (24, female)",3,650,A. Red (RAL 4002-HR),650
1417,"Observer 12 (24, female)",3,650,B. Blue (RAL 5009-HR),650
1418,"Observer 12 (24, female)",3,650,C. Green (RAL 6002-HR,520
1419,"Observer 12 (24, female)",3,650,D. Gray - RAL (7022-HR),650
1420,"Observer 12 (24, female)",3,780,A. Red (RAL 4002-HR),650
1421,"Observer 12 (24, female)",3,780,B. Blue (RAL 5009-HR),780
1422,"Observer 12 (24, female)",3,780,C. Green (RAL 6002-HR,650
1423,"Observer 12 (24, female)",3,780,D. Gray - RAL (7022-HR),780
1424,"Observer 12 (24, female)",3,910,A. Red (RAL 4002-HR),780
1425,"Observer 12 (24, female)",3,910,B. Blue (RAL 5009-HR),780
1426,"Observer 12 (24, female)",3,910,C. Green (RAL 6002-HR,910
1427,"Observer 12 (24, female)",3,910,D. Gray - RAL (7022-HR),910
1428,"Observer 12 (24, female)",3,1040,A. Red (RAL 4002-HR),1040
1429,"Observer 12 (24, female)",3,1040,B. Blue (RAL 5009-HR),1040
1430,"Observer 12 (24, female)",3,1040,C. Green (RAL 6002-HR,780
1431,"Observer 12 (24, female)",3,1040,D. Gray - RAL (7022-HR),1040
1432,"Observer 12 (24, female)",3,1170,A. Red (RAL 4002-HR),1040
1433,"Observer 12 (24, female)",3,1170,B. Blue (RAL 5009-HR),1170
1434,"Observer 12 (24, female)",3,1170,C. Green (RAL 6002-HR,1170
1435,"Observer 12 (24, female)",3,1170,D. Gray - RAL (7022-HR),1170
1436,"Observer 12 (24, female)",3,1300,A. Red (RAL 4002-HR),1300
1437,"Observer 12 (24, female)",3,1300,B. Blue (RAL 5009-HR),1300
1438,"Observer 12 (24, female)",3,1300,C. Green (RAL 6002-HR,1170
1439,"Observer 12 (24, female)",3,1300,D. Gray - RAL (7022-HR),1170
1440,"Observer 13 (26, male)",1,130,A. Red (RAL 4002-HR),130
1441,"Observer 13 (26, male)",1,130,B. Blue (RAL 5009-HR),130
1442,"Observer 13 (26, male)",1,130,C. Green (RAL 6002-HR,260
1443,"Observer 13 (26, male)",1,130,D. Gray - RAL (7022-HR),260
1444,"Observer 13 (26, male)",1,260,A. Red (RAL 4002-HR),260
1445,"Observer 13 (26, male)",1,260,B. Blue (RAL 5009-HR),390
1446,"Observer 13 (26, male)",1,260,C. Green (RAL 6002-HR,260
1447,"Observer 13 (26, male)",1,260,D. Gray - RAL (7022-HR),260
1448,"Observer 13 (26, male)",1,390,A. Red (RAL 4002-HR),260
1449,"Observer 13 (26, male)",1,390,B. Blue (RAL 5009-HR),520
1450,"Observer 13 (26, male)",1,390,C. Green (RAL 6002-HR,390
1451,"Observer 13 (26, male)",1,390,D. Gray - RAL (7022-HR),390
1452,"Observer 13 (26, male)",1,520,A. Red (RAL 4002-HR),520
1453,"Observer 13 (26, male)",1,520,B. Blue (RAL 5009-HR),390
1454,"Observer 13 (26, male)",1,520,C. Green (RAL 6002-HR,650
1455,"Observer 13 (26, male)",1,520,D. Gray - RAL (7022-HR),650
1456,"Observer 13 (26, male)",1,650,A. Red (RAL 4002-HR),650
1457,"Observer 13 (26, male)",1,650,B. Blue (RAL 5009-HR),650
1458,"Observer 13 (26, male)",1,650,C. Green (RAL 6002-HR,650
1459,"Observer 13 (26, male)",1,650,D. Gray - RAL (7022-HR),650
1460,"Observer 13 (26, male)",1,780,A. Red (RAL 4002-HR),780
1461,"Observer 13 (26, male)",1,780,B. Blue (RAL 5009-HR),780
1462,"Observer 13 (26, male)",1,780,C. Green (RAL 6002-HR,780
1463,"Observer 13 (26, male)",1,780,D. Gray - RAL (7022-HR),780
1464,"Observer 13 (26, male)",1,910,A. Red (RAL 4002-HR),910
1465,"Observer 13 (26, male)",1,910,B. Blue (RAL 5009-HR),910
1466,"Observer 13 (26, male)",1,910,C. Green (RAL 6002-HR,1040
1467,"Observer 13 (26, male)",1,910,D. Gray - RAL (7022-HR),780
1468,"Observer 13 (26, male)",1,1040,A. Red (RAL 4002-HR),1040
1469,"Observer 13 (26, male)",1,1040,B. Blue (RAL 5009-HR),910
1470,"Observer 13 (26, male)",1,1040,C. Green (RAL 6002-HR,910
1471,"Observer 13 (26, male)",1,1040,D. Gray - RAL (7022-HR),1040
1472,"Observer 13 (26, male)",1,1170,A. Red (RAL 4002-HR),1170
1473,"Observer 13 (26, male)",1,1170,B. Blue (RAL 5009-HR),1300
1474,"Observer 13 (26, male)",1,1170,C. Green (RAL 6002-HR,1170
1475,"Observer 13 (26, male)",1,1170,D. Gray - RAL (7022-HR),1170
1476,"Observer 13 (26, male)",1,1300,A. Red (RAL 4002-HR),1170
1477,"Observer 13 (26, male)",1,1300,B. Blue (RAL 5009-HR),1170
1478,"Observer 13 (26, male)",1,1300,C. Green (RAL 6002-HR,1300
1479,"Observer 13 (26, male)",1,1300,D. Gray - RAL (7022-HR),1300
1480,"Observer 13 (26, male)",2,130,A. Red (RAL 4002-HR),130
1481,"Observer 13 (26, male)",2,130,B. Blue (RAL 5009-HR),130
1482,"Observer 13 (26, male)",2,130,C. Green (RAL 6002-HR,260
1483,"Observer 13 (26, male)",2,130,D. Gray - RAL (7022-HR),260
1484,"Observer 13 (26, male)",2,260,A. Red (RAL 4002-HR),260
1485,"Observer 13 (26, male)",2,260,B. Blue (RAL 5009-HR),260
1486,"Observer 13 (26, male)",2,260,C. Green (RAL 6002-HR,260
1487,"Observer 13 (26, male)",2,260,D. Gray - RAL (7022-HR),390
1488,"Observer 13 (26, male)",2,390,A. Red (RAL 4002-HR),390
1489,"Observer 13 (26, male)",2,390,B. Blue (RAL 5009-HR),390
1490,"Observer 13 (26, male)",2,390,C. Green (RAL 6002-HR,390
1491,"Observer 13 (26, male)",2,390,D. Gray - RAL (7022-HR),520
1492,"Observer 13 (26, male)",2,520,A. Red (RAL 4002-HR),390
1493,"Observer 13 (26, male)",2,520,B. Blue (RAL 5009-HR),520
1494,"Observer 13 (26, male)",2,520,C. Green (RAL 6002-HR,520
1495,"Observer 13 (26, male)",2,520,D. Gray - RAL (7022-HR),520
1496,"Observer 13 (26, male)",2,650,A. Red (RAL 4002-HR),650
1497,"Observer 13 (26, male)",2,650,B. Blue (RAL 5009-HR),650
1498,"Observer 13 (26, male)",2,650,C. Green (RAL 6002-HR,650
1499,"Observer 13 (26, male)",2,650,D. Gray - RAL (7022-HR),650
1500,"Observer 13 (26, male)",2,780,A. Red (RAL 4002-HR),780
1501,"Observer 13 (26, male)",2,780,B. Blue (RAL 5009-HR),650
1502,"Observer 13 (26, male)",2,780,C. Green (RAL 6002-HR,650
1503,"Observer 13 (26, male)",2,780,D. Gray - RAL (7022-HR),650
1504,"Observer 13 (26, male)",2,910,A. Red (RAL 4002-HR),910
1505,"Observer 13 (26, male)",2,910,B. Blue (RAL 5009-HR),780
1506,"Observer 13 (26, male)",2,910,C. Green (RAL 6002-HR,910
1507,"Observer 13 (26, male)",2,910,D. Gray - RAL (7022-HR),910
1508,"Observer 13 (26, male)",2,1040,A. Red (RAL 4002-HR),910
1509,"Observer 13 (26, male)",2,1040,B. Blue (RAL 5009-HR),1040
1510,"Observer 13 (26, male)",2,1040,C. Green (RAL 6002-HR,1040
1511,"Observer 13 (26, male)",2,1040,D. Gray - RAL (7022-HR),910
1512,"Observer 13 (26, male)",2,1170,A. Red (RAL 4002-HR),1170
1513,"Observer 13 (26, male)",2,1170,B. Blue (RAL 5009-HR),1170
1514,"Observer 13 (26, male)",2,1170,C. Green (RAL 6002-HR,1040
1515,"Observer 13 (26, male)",2,1170,D. Gray - RAL (7022-HR),1170
1516,"Observer 13 (26, male)",2,1300,A. Red (RAL 4002-HR),1300
1517,"Observer 13 (26, male)",2,1300,B. Blue (RAL 5009-HR),1170
1518,"Observer 13 (26, male)",2,1300,C. Green (RAL 6002-HR,1170
1519,"Observer 13 (26, male)",2,1300,D. Gray - RAL (7022-HR),1300
1520,"Observer 13 (26, male)",3,130,A. Red (RAL 4002-HR),130
1521,"Observer 13 (26, male)",3,130,B. Blue (RAL 5009-HR),130
1522,"Observer 13 (26, male)",3,130,C. Green (RAL 6002-HR,260
1523,"Observer 13 (26, male)",3,130,D. Gray - RAL (7022-HR),260
1524,"Observer 13 (26, male)",3,260,A. Red (RAL 4002-HR),260
1525,"Observer 13 (26, male)",3,260,B. Blue (RAL 5009-HR),390
1526,"Observer 13 (26, male)",3,260,C. Green (RAL 6002-HR,260
1527,"Observer 13 (26, male)",3,260,D. Gray - RAL (7022-HR),390
1528,"Observer 13 (26, male)",3,390,A. Red (RAL 4002-HR),390
1529,"Observer 13 (26, male)",3,390,B. Blue (RAL 5009-HR),390
1530,"Observer 13 (26, male)",3,390,C. Green (RAL 6002-HR,520
1531,"Observer 13 (26, male)",3,390,D. Gray - RAL (7022-HR),520
1532,"Observer 13 (26, male)",3,520,A. Red (RAL 4002-HR),520
1533,"Observer 13 (26, male)",3,520,B. Blue (RAL 5009-HR),650
1534,"Observer 13 (26, male)",3,520,C. Green (RAL 6002-HR,520
1535,"Observer 13 (26, male)",3,520,D. Gray - RAL (7022-HR),520
1536,"Observer 13 (26, male)",3,650,A. Red (RAL 4002-HR),650
1537,"Observer 13 (26, male)",3,650,B. Blue (RAL 5009-HR),650
1538,"Observer 13 (26, male)",3,650,C. Green (RAL 6002-HR,520
