Name,Code,L (Spect -15),a (Spect -15),b (Spect -15),L (Spect 15),a (Spect 15),b (Spect 15),L (Spect 25),a (Spect 25),b (Spect 25),L (Spect 45),a (Spect 45),b (Spect 45),L (Spect 75),a (Spect 75),b (Spect 75),L (Spect 110),a (Spect 110),b (Spect 110)
RAL 4002-HR,SAMPLE 015,"73,027291","16,51190537","-0,3757529871","57,12577398","23,38010876","2,209690262","43,46453079","33,13082085","6,036594072","37,16035406","39,52743887","9,166047634","37,74769841","39,55363352","7,499505302","36,91306256","38,45440212","6,938111954"
RAL 5009-HR,SAMPLE 020,"76,53453904","-2,589504033","-12,34300498","59,04598256","-4,092182966","-14,5920666","44,17229862","-6,039963063","-19,12532986","35,45426077","-7,895659524","-22,30636978","35,79810965","-7,867432346","-23,20312855","35,07484263","-7,757196319","-22,86229003"
RAL 6002-HR,SAMPLE 023,"76,30325321","-9,352794816","2,512637153","58,36467111","-13,83093558","7,434944677","40,83334127","-23,23065015","17,22710109","33,96542688","-30,2425248","25,11056715","33,89832275","-30,22756835","24,42015167","33,20784694","-29,61173229","24,02481952"
RAL 7022-HR,SAMPLE 031,"73,50403229","-0,6611190389","-1,891570355","57,79782017","-0,9023966683","-0,1746137943","40,55304664","-0,8045837521","1,933063575","31,74322409","-0,8840282639","3,852475009","31,85265378","-0,6482906425","2,881223076","31,278719","-0,6156547782","2,866582217"
